,Pclass,Age,SibSp,Parch,Fare,Cabin,Title_ Master,Title_ Miss,Title_ Mr,Title_ Mrs,Title_others,Sex_female,Sex_male,Embarked_0,Embarked_1,Embarked_2,Pclass_1,Pclass_2,Pclass_3,Isalone
0,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0
2,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
3,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.0
4,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
5,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1.0
6,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1.0
7,3,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0
8,3,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
9,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.0
10,3,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.0
11,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.0
12,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1.0
13,3,1,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0
14,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.0
15,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0
16,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.0
17,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.0
18,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.0
19,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1.0
